PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z
1, 555767198, 0.4984849, 0.4960348, -0.36717996, 0.6088033
2, 555783865, 0.49848068, 0.49620825, -0.3675171, 0.6084617
3, 555800532, 0.4983898, 0.4961607, -0.36793628, 0.6083216
4, 555817199, 0.49816993, 0.49608257, -0.36794528, 0.60855985
5, 555833866, 0.49808058, 0.49566945, -0.36779654, 0.60905945
6, 555850533, 0.49814114, 0.49531606, -0.36774787, 0.6093267
7, 555867200, 0.49811727, 0.49499395, -0.3676733, 0.60965306
8, 555883867, 0.4981699, 0.49463013, -0.36768252, 0.60989946
9, 555900534, 0.4981998, 0.4943392, -0.36766556, 0.61012113
10, 555917201, 0.498064, 0.49423975, -0.3675039, 0.61041
11, 555933868, 0.49796298, 0.4940515, -0.36721855, 0.61081636
12, 555950535, 0.49788073, 0.49390417, -0.36701176, 0.6111269
13, 555967202, 0.49787876, 0.493699, -0.36679375, 0.6114249
14, 555983869, 0.4979684, 0.49350056, -0.36665633, 0.61159456
15, 556000536, 0.49803084, 0.4934553, -0.3663814, 0.611745
16, 556017203, 0.49813205, 0.4934087, -0.36619258, 0.6118132
17, 556033870, 0.49825916, 0.49334487, -0.36590663, 0.61193234
18, 556050537, 0.49846, 0.49318138, -0.3656366, 0.6120619
19, 556067204, 0.49852666, 0.4931938, -0.36532745, 0.6121822
20, 556083871, 0.49856135, 0.4932307, -0.3648792, 0.61239153
21, 556100538, 0.49872598, 0.493131, -0.36453143, 0.612545
22, 556117205, 0.49864304, 0.4933542, -0.36405212, 0.6127177
23, 556133872, 0.498314, 0.4937885, -0.36334103, 0.61305755
24, 556150539, 0.49822852, 0.49387428, -0.3626591, 0.6134616
25, 556167206, 0.49810258, 0.49406877, -0.3621481, 0.6137089
26, 556183873, 0.49781808, 0.49450392, -0.36185184, 0.61376417
27, 556200540, 0.49747768, 0.49493724, -0.36142918, 0.6139398
28, 556217207, 0.49740374, 0.49507442, -0.36092147, 0.6141878
29, 556233874, 0.4973133, 0.49522024, -0.36065462, 0.61430013
30, 556250541, 0.49703777, 0.49560848, -0.36042976, 0.61434215
31, 556267208, 0.49683735, 0.49590343, -0.36011228, 0.6144523
32, 556283875, 0.49708447, 0.4956774, -0.35969442, 0.61467963
33, 556300542, 0.49695516, 0.49587905, -0.35963845, 0.6146541
34, 556317209, 0.4963385, 0.49665716, -0.35951403, 0.6145969
35, 556333876, 0.4962547, 0.4967311, -0.35912457, 0.61483264
36, 556350543, 0.49665254, 0.49636832, -0.35889158, 0.6149403
37, 556367210, 0.49654624, 0.49666366, -0.35883886, 0.61481845
38, 556383877, 0.49633792, 0.49689588, -0.3589595, 0.6147287
39, 556400544, 0.49640766, 0.4967119, -0.3590656, 0.61475897
40, 556417211, 0.49652702, 0.4965573, -0.35914248, 0.6147427
41, 556433878, 0.49640337, 0.49674475, -0.3593426, 0.6145741
42, 556450545, 0.49629477, 0.49690467, -0.35947224, 0.61445665
43, 556467212, 0.49628112, 0.4969211, -0.3595309, 0.6144201
44, 556483879, 0.49626458, 0.49694565, -0.3596945, 0.61431783
45, 556500546, 0.4961417, 0.49714836, -0.35986355, 0.6141539
46, 556517213, 0.4961277, 0.4972466, -0.35991713, 0.61405444
47, 556533880, 0.49634594, 0.4971457, -0.36003244, 0.61389226
48, 556550547, 0.49644366, 0.4972015, -0.36009234, 0.6137329
49, 556567214, 0.49621892, 0.49759343, -0.36006317, 0.61361414
50, 556583881, 0.49633488, 0.49757403, -0.35998985, 0.61357903
