1_x,1_y,1_z,2_x,2_y,2_z,3_x,3_y,3_z,4_x,4_y,4_z,5_x,5_y,5_z,good_or_bad
164.9299011,57.48572922,91.84239197,-106.2583313,-77.67168427,-119.2920456,-4.408675194,-67.78779602,129.4951477,-154.8816376,68.55825806,72.71826935,132.35849,71.18634796,-165.8443146,1
167.2853241,53.80529404,91.78726196,-118.6744537,-76.80712891,-108.7745972,-5.429255962,-68.63938904,131.0850983,-152.9474487,69.00958252,75.34156036,131.9505768,70.19989014,-164.2569885,1
168.9478912,49.81233978,96.03987885,-137.5422211,-74.36240387,-87.54689026,-3.769940376,-69.38101196,129.4232025,-147.7678375,70.39588165,81.11335754,134.8925934,68.37483978,-160.1653442,1
173.7394562,43.34951401,98.3814621,-143.4435425,-71.5377655,-81.73020935,-5.712760925,-69.13464355,130.4747925,-165.4886627,66.69393158,56.13442612,137.609848,72.50123596,-161.5247803,1
175.2207947,42.2424202,99.92767334,-139.4095306,-72.61904144,-85.08926392,-5.467694759,-68.19862366,130.4387207,-162.2337799,69.44482422,60.21722412,143.7053986,69.61412811,-153.2447968,1
171.4638977,44.49985504,100.442894,-134.6073761,-74.08109283,-88.00558472,-4.338788986,-67.21269989,130.7986755,-162.1938629,69.73693848,61.56839752,144.8218536,69.01272583,-150.5399628,1
167.3762207,49.88158417,101.0354843,-131.5600433,-74.52360535,-90.09335327,-4.441884041,-67.34689331,131.7227478,-162.0613251,69.83882904,62.30028534,144.793457,69.10269165,-150.473053,1
161.9261932,61.2343483,94.87867737,-125.4472733,-75.18598938,-96.71000671,-5.649359703,-67.11924744,132.6354218,-162.339325,69.5011673,61.54904938,143.3829041,69.65050507,-152.9161377,1
163.1977234,61.35414124,87.91765594,-96.99846649,-77.92166901,-131.4040527,-7.633339405,-66.80636597,131.1503143,-163.5254669,65.77182007,58.12116623,127.3277054,71.11147308,-173.2571564,1
157.1118927,72.79084015,78.0464859,-76.56954193,-79.90563965,-155.0950317,-4.281800747,-66.15274048,124.2804947,-164.3222351,66.22545624,55.12878036,108.8010788,73.0109787,165.3368683,1
152.4168549,68.8183136,74.94602966,-96.02165222,-77.59533691,-133.9875641,-5.711323261,-66.08422852,125.3505707,-130.6407623,78.93018341,94.33676147,142.4063568,67.67461395,-159.1664886,1
148.712265,70.3500824,73.64976501,-93.3194809,-78.85176849,-134.5762329,-0.253532857,-65.77294159,121.94207,-115.5677719,76.27966309,111.1538467,146.0055695,64.77964783,-153.9104004,1
132.3710938,77.66228485,58.69017029,-83.84748077,-78.48497772,-143.5287323,-7.518553734,-66.32705688,130.5915527,-166.0884857,64.75684357,56.03911972,120.1209793,71.87684631,179.8532715,1
140.3840637,76.11264801,64.22264862,-86.1075592,-78.66156769,-143.324234,-7.747098446,-65.85054016,128.0951385,-167.7416992,66.4328537,52.9255867,111.7945328,75.99893951,170.9210663,1
142.0827026,75.46504974,66.07398224,-91.31842804,-79.33097076,-138.1672668,-4.390745163,-66.0605011,124.45401,-166.371994,69.09740448,53.78398514,120.9519272,76.00908661,-178.7696991,1
137.1925201,73.55381775,61.13228226,-96.87659454,-77.34585571,-132.8018494,-6.312045574,-66.46739197,126.4256439,-149.0155334,79.29598999,74.72376251,141.499649,70.05899811,-157.0376892,1
152.8354492,65.48099518,77.51072693,-120.0136948,-76.19493103,-109.2569809,-2.525798321,-67.03170776,122.5044174,-137.5219269,68.27970123,85.81585693,148.0229187,64.08271027,-151.8842773,1
155.7956696,65.49452209,75.04827881,-120.9555359,-76.25524902,-113.2258606,-3.64176774,-67.60560608,118.61203,-152.6999512,62.81642532,56.50347519,148.3910675,63.91770172,-155.0329285,1
157.742157,65.39655304,71.80119324,-134.3288116,-74.1275177,-104.5196762,-3.401274443,-69.12047577,113.9791031,-159.583725,64.59533691,45.44346237,141.1983185,65.58985901,-168.5065918,1
157.9172211,65.44727325,72.06615448,-133.6570435,-74.35041809,-105.1888275,-3.550880432,-69.10359955,114.0911026,-160.3530579,64.45654297,44.68976974,139.9960327,65.80125427,-170.2350464,1
158.5694733,66.38035583,72.70170593,-132.5933685,-75.81560516,-106.4163437,-2.307337284,-68.87689972,112.8175659,-162.6203461,65.3899231,42.12828445,127.6000671,67.07633972,176.7622375,1
162.4064026,64.95562744,75.71382141,-119.1704483,-77.98477936,-120.3072433,-3.47030592,-69.19630432,115.363266,-165.4870911,64.99937439,41.10886002,111.2426605,62.45741653,155.6631622,1
162.5570526,64.77828217,76.04818726,-118.9669266,-77.95652771,-120.409256,-3.78219986,-69.28743744,115.9185715,-165.765976,65.15102386,41.16218567,110.5840073,63.67284775,158.9656372,1
164.9382935,59.66386795,82.44713593,-125.2649078,-76.37191772,-109.713974,-3.618969679,-70.01930237,119.0019608,-166.6216278,67.09100342,42.87732315,128.1175079,68.86283875,-171.4533081,1
